City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,ghanzi,-21.5667,21.7833,13.07,18,0,4.04,BW,1721353852
276,kenora,49.8167,-94.4337,22.54,60,75,3.6,CA,1721353852
277,ma'rib,15.4591,45.3253,29.3,27,98,2.54,YE,1721353852
278,banda aceh,5.5577,95.3222,29.61,63,100,4.46,ID,1721353852
279,nchelenge,-9.3451,28.734,16.03,45,0,1.57,ZM,1721353853
280,antsohihy,-14.8796,47.9875,18.62,81,8,2.26,MG,1721353853
281,porto velho,-8.7619,-63.9039,25.03,69,0,0.51,BR,1721353597
282,agat village,13.3886,144.6585,30.42,84,75,6.17,GU,1721353853
283,nar'yan-mar,67.6713,53.087,8.48,77,11,4.22,RU,1721353853
284,bredy,52.4153,60.3411,16.46,85,98,1.77,RU,1721353853
285,rabaul,-4.1967,152.1721,27.76,75,100,8.59,PG,1721353853
286,pangai,-19.8,-174.35,27.06,74,75,4.12,TO,1721353854
287,ancud,-41.8697,-73.8203,4.68,76,2,4.1,CL,1721353854
288,berwick,41.0545,-76.2333,21.63,81,28,2.33,US,1721353855
289,lib,8.3122,167.3766,28.14,73,75,5.73,MH,1721353855
290,micheweni,-4.9667,39.8333,23.65,83,34,4.96,TZ,1721353855
291,vadso,70.0744,29.7487,12.49,100,100,9.26,NO,1721353855
292,tahara,34.6667,137.2667,28.97,82,99,3.7,JP,1721353856
293,siwa oasis,29.2041,25.5195,28.77,36,0,2.35,EG,1721353856
294,xilin hot,43.9667,116.0333,27.39,30,12,3.41,CN,1721353856
295,brownwood,31.7093,-98.9912,31.0,40,0,1.54,US,1721353856
296,bouna,9.2667,-3.0,22.04,96,75,2.32,CI,1721353856
297,hadibu,12.65,54.0333,25.84,84,100,10.11,YE,1721353856
298,touros,-5.1989,-35.4608,23.28,90,40,4.64,BR,1721353857
299,canto do buriti,-8.11,-42.9444,23.34,51,9,2.03,BR,1721353857
300,remire-montjoly,4.9167,-52.2667,24.02,100,100,1.03,GF,1721353618
301,tazovsky,67.4667,78.7,11.1,66,99,5.25,RU,1721353857
302,jejuri,18.2833,74.1667,22.65,92,100,5.16,IN,1721353857
303,letterkenny,54.95,-7.7333,11.79,98,100,0.98,IE,1721353857
304,akureyri,65.6835,-18.0878,12.96,62,75,2.57,IS,1721353858
305,shurugwi,-19.6702,30.0059,10.69,30,0,2.4,ZW,1721353858
306,campoverde,-8.4753,-74.8058,24.83,60,0,0.56,PE,1721353858
307,nizao,18.25,-70.2,28.04,81,91,5.66,DO,1721353858
308,kavaratti,10.5669,72.642,26.95,86,100,8.09,IN,1721353858
309,sisimiut,66.9395,-53.6735,8.17,74,1,0.28,GL,1721353858
